gap_id	category	description	affects_claims	severity	resolution_phase	evidence_path	status
archive_merge_repeats	archive_characterization	Large synthetic exact merge now has three paper-protocol timing and RSS repetitions with byte-identical outputs	C5	core	4	paper/ablation_resource_report.md	resolved_phase4
ablation_same_workload_triad	ablation_scope	Authority-to-GASAL2 and sync-to-two-slot contrasts use different target scopes; no same-workload A/B/C speedup is constructed	C1,C4	limitation	9	paper/ablation_resource_report.md	open
citation_metadata_gaps	citation_metadata	DOI PMID version and access-date metadata have not been inventoried; no citation may be fabricated	C1,C2,C3,C4,C5,C6,C7	core	8	paper/README.md	open
container_reproduction_gaps	container_reproduction	CUDA user-space container definition and staged-tree clean-checkout quick reproduction are documented and validated; host driver and GPU reruns remain external	C1,C2,C3,C4,C5,C6,C7	core	7	paper/clean_checkout_validation.log	resolved_phase7
core_repeat_gaps	core_repeats	C1 now has five epoch-0 pairs C4 has five pairs per chromosome and C7 max8 has three pairs; all Phase 2 core repeat gates are clean	C1,C4,C7	core	2	paper/core_benchmark_report.md	resolved_phase2
generalization_preregistration	generalization_protocol	Historical non-H19 rows were not frozen under the paper preregistration protocol and have one run per row	C2,C3	core	1	paper/workload_manifest.tsv	resolved_phase1
generalization_target_diversity_gap	generalization_target_diversity	Historical panel uses one chr22 target slice; Phase 1 must freeze target-diverse core and breadth rows before new runs	C2,C3	core	1	paper/workload_manifest.tsv	resolved_phase1
generalization_contract_mismatches	generalization_correctness	Three of thirteen preregistered supported workloads have repeat-consistent clustered stability or Nt top5 mismatches; all detail rows are retained	C2,C3	limitation	9	paper/generalization_report.md	open
input_fasta_provenance	input_provenance	All thirteen tracked external and derived inputs have authority URL license note size SHA-256 path convention workload mapping and reconstruction command	C2,C3,C5,C6,C7	core	7	reproduce/input_manifest.tsv	resolved_phase7
raw_artifact_availability	raw_artifacts	Existing .tmp artifacts are present and hashed locally but are not yet copied to an immutable data-freeze root or external archive	C1,C2,C3,C4,C5,C6,C7	core	5	paper/artifact_inventory.tsv	open
runtime_epoch_compatibility	runtime_epoch	Most historical performance artifacts predate paper runtime commit 0d11aa2 and cannot be pooled until compatibility or rerun is established	C1,C2,C3,C4,C5,C6,C7	core	1	paper/runtime_epoch_log.tsv	open
second_gpu_platform_availability	hardware_breadth	Only the current RTX 4090 class platform is available in existing scoped evidence; no second GPU platform is frozen	C1,C4,C6	limitation	9	docs/fasim_gasal2_long_query_final_decision.md	open
